sex,age,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 
T,Y25-54,PC,FI	4 	4 	3 	4 	4 	4 	4 
T,Y25-54,PC,FR	3 	2 	2 	2 	2 	3 	3 
T,Y25-54,PC,HR	3 	2 	2 	1 	1 	1 	1 
T,Y25-54,PC,HU	2 	2 	2 	2 	2 	2 	1 
T,Y25-54,PC,IE	2 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,IT	2 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,LT	4 	5 	3 	2 	2 	3 	3 
T,Y25-54,PC,LV	3 	3 	3 	3 	3 	4 	3 
T,Y25-54,PC,MT	3 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,NL	3 	3 	3 	2 	2 	2 	3 
T,Y25-54,PC,NO	3 	3 	3 	3 	3 	3 	3 
T,Y25-54,PC,PL	2 	2 	2 	2 	2 	2 	2 
T,Y25-54,PC,PT	4 	4 	3 	3 	3 	2 	3 
T,Y25-54,PC,RO	1 	: 	: 	: 	: 	: 	1 
T,Y25-54,PC,SE	5 	5 	5 	5 	5 	5 	5 
T,Y25-54,PC,SI	3 	1 	2 	1 	2 	2 	2 
T,Y25-54,PC,SK	2 	2 	2 	1 	1 	1 	1 
T,Y25-54,PC,UK	3 	3 	3 	3 	2 	2 	2 
T,Y55-74,PC,AT	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,BG	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,CY	1 	2 	1 	1 	1 	1 	1 
T,Y55-74,PC,CZ	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,DK	2 	2 	2 	2 	2 	2 	2 
T,Y55-74,PC,EE	2 	2 	2 	1 	1 	1 	1 
T,Y55-74,PC,EL	0 	0 	1 	0 	0 	0 	0 
T,Y55-74,PC,ES	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,FI	2 	2 	2 	2 	2 	2 	2 
T,Y55-74,PC,FR	1 	1 	1 	1 	1 	2 	2 
T,Y55-74,PC,HR	1 	2 	1 	2 	1 	0 	0 
T,Y55-74,PC,HU	1 	1 	2 	1 	1 	1 	1 
T,Y55-74,PC,IE	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,IT	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,LT	3 	3 	2 	1 	2 	2 	2 
T,Y55-74,PC,LV	1 	1 	1 	2 	2 	2 	2 
T,Y55-74,PC,MT	1 	1 	2 	1 	1 	1 	1 
T,Y55-74,PC,NL	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,NO	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,PL	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,PT	1 	1 	1 	1 	1 	1 	1 
T,Y55-74,PC,RO	0 	: 	: 	: 	: 	: 	0 
T,Y55-74,PC,SE	4 	4 	4 	4 	4 	3 	3 
T,Y55-74,PC,SI	1 	0 	1 	0 	1 	1 	0 
T,Y55-74,PC,SK	1 	2 	1 	1 	1 	1 	1 
T,Y55-74,PC,UK	1 	1 	1 	1 	1 	1 	1 
